iter	Logloss
0	0.6884740448
1	0.6844258118
2	0.6797506714
3	0.6752298737
4	0.6710171509
5	0.6665887451
6	0.6617092896
7	0.6562985992
8	0.6519664764
9	0.6472112274
10	0.6428507996
11	0.6377998352
12	0.633612709
13	0.6301306915
14	0.6272601318
15	0.6230653381
16	0.6189466858
17	0.6147931671
18	0.6111017609
19	0.6067042542
20	0.6027210617
21	0.5991732788
22	0.5955146027
23	0.5923162842
24	0.5887810135
25	0.5846942902
26	0.5801951599
27	0.5766527176
28	0.5751946259
29	0.570803833
30	0.567274704
31	0.5646235657
32	0.5621721649
33	0.5594723511
34	0.5562270355
35	0.5537232971
36	0.551206131
37	0.5483187485
38	0.5453107834
39	0.5416314697
40	0.5386165619
41	0.5350239182
42	0.5318273544
43	0.5292904663
44	0.527091217
45	0.5245746994
46	0.5221342468
47	0.5198093796
48	0.5170349121
49	0.5155324173
50	0.5134545898
51	0.5105796814
52	0.5073710632
53	0.5050362396
54	0.5021377945
55	0.5000867462
56	0.4974947357
57	0.4952536392
58	0.4929605103
59	0.4903798676
60	0.487722702
61	0.4850597763
62	0.4826551819
63	0.4807837296
64	0.4786486053
65	0.4763963318
66	0.4744071198
67	0.471859436
68	0.4700441742
69	0.4682070923
70	0.4663162231
71	0.464342308
72	0.462494545
73	0.4610675049
74	0.4582252502
75	0.4564398956
76	0.4549974442
77	0.4530205536
78	0.4515897751
79	0.4494443893
80	0.4470653534
81	0.4455486298
82	0.4438611603
83	0.4420316315
84	0.4400791168
85	0.4381086731
86	0.436017189
87	0.4337184143
88	0.4322544861
89	0.4306343842
90	0.4290104294
91	0.4273945618
92	0.4259581757
93	0.4243180847
94	0.42230896
95	0.4204705429
96	0.4190649414
97	0.417862854
98	0.4168105698
99	0.4154490662
100	0.414393959
101	0.4128310394
102	0.4112356567
103	0.409719696
104	0.4084010315
105	0.4065220642
106	0.4052573013
107	0.4041923141
108	0.4025128555
109	0.4009866333
110	0.3996391296
111	0.3979959106
112	0.3963248444
113	0.3946448517
114	0.3932631302
115	0.3920572662
116	0.3909559631
117	0.3900322723
118	0.3889399719
119	0.387509079
120	0.3863925934
121	0.384919548
122	0.3838928986
123	0.3830090332
124	0.3816435242
125	0.3797579193
126	0.3781530762
127	0.3763902283
128	0.37483078
129	0.3734048843
130	0.3718949127
131	0.371157341
132	0.3694055176
133	0.3684266663
134	0.3672593689
135	0.3657484436
136	0.3644701385
137	0.3636070251
138	0.3626908493
139	0.3610182571
140	0.3599545288
141	0.3589867401
142	0.3578954697
143	0.3568824768
144	0.3556558228
145	0.3545898438
146	0.3533094406
147	0.3520602798
148	0.3510026169
149	0.3500285339
150	0.3486631012
151	0.3473545456
152	0.3462997437
153	0.3453815842
154	0.3446652985
155	0.3437178802
156	0.3424451447
157	0.3412371063
158	0.3403196716
159	0.3394078827
160	0.3386923599
161	0.3378570175
162	0.3370080566
163	0.3358737564
164	0.335290451
165	0.3346090698
166	0.3338149261
167	0.3328434753
168	0.3322055054
169	0.3314697266
170	0.3307577515
171	0.3295359039
172	0.3288406372
173	0.3277095032
174	0.3267851257
175	0.3257853699
176	0.3250027466
177	0.3240524673
178	0.3233692551
179	0.322301178
180	0.3217524719
181	0.3208006287
182	0.3198601151
183	0.3190114212
184	0.3180197144
185	0.316876545
186	0.3158242798
187	0.3148366356
188	0.313796711
189	0.3127480125
190	0.3118183327
191	0.3109487915
192	0.3095915031
193	0.3085760498
194	0.3079331207
195	0.3072127342
196	0.3064850807
197	0.3057941246
198	0.3049185944
199	0.3043318176
200	0.3034763145
201	0.3027016449
202	0.3020799446
203	0.3013948631
204	0.3004538727
205	0.2995047951
206	0.2983059692
207	0.2974115753
208	0.2968881607
209	0.2963772202
210	0.2957592964
211	0.2950184441
212	0.2943101501
213	0.2934923172
214	0.2927407455
215	0.2918466187
216	0.2912446404
217	0.2904081535
218	0.2898266792
219	0.2891049576
220	0.2886749458
221	0.2877134705
222	0.2870394707
223	0.28637537
224	0.2856204987
225	0.285055542
226	0.2844221878
227	0.283860836
228	0.2830735397
229	0.2826038361
230	0.2820640564
231	0.2815851593
232	0.2806584358
233	0.2796889877
234	0.2790817261
235	0.2783987427
236	0.2778167343
237	0.2773308945
238	0.2768466759
239	0.2758694267
240	0.2752279282
241	0.2744829559
242	0.2738857269
243	0.2732398605
244	0.2725442696
245	0.2718574715
246	0.2712575722
247	0.2707973671
248	0.2701161575
249	0.2692998505
250	0.2686515427
251	0.2681283951
252	0.2672435951
253	0.266765976
254	0.2659487152
255	0.2651918602
256	0.2646973038
257	0.2643695068
258	0.263384552
259	0.2629101944
260	0.26225811
261	0.2616255188
262	0.2608255386
263	0.2603200912
264	0.2596398544
265	0.259163208
266	0.2585196304
267	0.2577654266
268	0.2572634697
269	0.2567900085
270	0.2560931015
271	0.2554166222
272	0.2548534775
273	0.2542690277
274	0.2536093903
275	0.253045311
276	0.2522987747
277	0.2519593239
278	0.2513363838
279	0.2503396988
280	0.2496961594
281	0.2490945435
282	0.2485718346
283	0.2480741882
284	0.2471789169
285	0.2467297173
286	0.2461000824
287	0.2457713699
288	0.2450645065
289	0.2445643997
290	0.2439875412
291	0.2434398079
292	0.2428358459
293	0.2420809555
294	0.24164505
295	0.2412344933
296	0.2406248093
297	0.2403444672
298	0.2399261475
299	0.239263916
300	0.2385024643
301	0.2379637527
302	0.2375100517
303	0.2364879227
304	0.2360159683
305	0.2355353355
306	0.2348534966
307	0.234250927
308	0.2337189102
309	0.2335166931
310	0.2330980492
311	0.2326958847
312	0.2320686531
313	0.2312847519
314	0.2306729507
315	0.2299649811
316	0.2294474792
317	0.2287000275
318	0.2281116486
319	0.2275166321
320	0.2271907997
321	0.2268223572
322	0.2262594604
323	0.2259239197
324	0.2256842804
325	0.2253382301
326	0.2248879242
327	0.2243343735
328	0.2239261627
329	0.2232731247
330	0.2229416084
331	0.2227499771
332	0.2220796204
333	0.2217470932
334	0.2212506866
335	0.2209270287
336	0.2204507065
337	0.2198510361
338	0.2194150925
339	0.2190779114
340	0.218723526
341	0.2180829048
342	0.2176563454
343	0.2172582245
344	0.2168368912
345	0.2161273956
346	0.2156704521
347	0.2153175735
348	0.214912014
349	0.2144228554
350	0.2140418243
351	0.2136158752
352	0.2132260132
353	0.2125598907
354	0.2121114349
355	0.211647625
356	0.2112007141
357	0.2107100105
358	0.2103175354
359	0.209916172
360	0.2096132278
361	0.2090678215
362	0.208589344
363	0.208220253
364	0.2077453613
365	0.2073066711
366	0.2067983055
367	0.2064751625
368	0.206158886
369	0.2056735229
370	0.2051016998
371	0.2047534561
372	0.2043143082
373	0.2038282394
374	0.2034844971
375	0.2032466507
376	0.2027497864
377	0.2023753166
378	0.2020470428
379	0.2016610718
380	0.201275177
381	0.2009077835
382	0.2005441856
383	0.2001956558
384	0.1997735214
385	0.1992649078
386	0.198873024
387	0.1982460785
388	0.1975743103
389	0.1971569824
390	0.1967045212
391	0.1962042618
392	0.1958974838
393	0.1955473709
394	0.1951123428
395	0.1948253441
396	0.1942874527
397	0.1940650558
398	0.1935460472
399	0.1930102921
400	0.1926990509
401	0.1924264526
402	0.1921325302
403	0.1916695023
404	0.1912628365
405	0.1908731461
406	0.1906369019
407	0.1901399612
408	0.1897306252
409	0.189239769
410	0.1889485741
411	0.1884437561
412	0.18817976
413	0.1878116226
414	0.1873087311
415	0.1869890404
416	0.1867022514
417	0.186227932
418	0.1859487915
419	0.1855353355
420	0.1849793625
421	0.1846537018
422	0.1843791771
423	0.1840352249
424	0.1837507439
425	0.1832749176
426	0.1831218338
427	0.182706356
428	0.1822940063
429	0.1818339539
430	0.1813026619
431	0.1809649658
432	0.1806246758
433	0.1802480698
434	0.1798572159
435	0.1792739487
436	0.178872261
437	0.1785627937
438	0.1780811501
439	0.1777360916
440	0.1774680519
441	0.1769932938
442	0.1767438316
443	0.176293602
444	0.176052227
445	0.175478363
446	0.1751875687
447	0.1748157692
448	0.174366684
449	0.1741129303
450	0.1737479973
451	0.1733956909
452	0.1731349564
453	0.1728010368
454	0.1724205971
455	0.1721579361
456	0.1719142532
457	0.1716530991
458	0.1712063599
459	0.1710227394
460	0.1706175995
461	0.1704441452
462	0.1701112938
463	0.1698861694
464	0.1696277618
465	0.1692192078
466	0.1687491226
467	0.1685232162
468	0.1682822609
469	0.1680862045
470	0.1678662491
471	0.1675627708
472	0.1672033882
473	0.166706295
474	0.1664999008
475	0.1661949348
476	0.1658155441
477	0.1655054855
478	0.1652431297
479	0.164835434
480	0.1642973328
481	0.1638870049
482	0.1636524391
483	0.1634360886
484	0.1632163239
485	0.1630261421
486	0.1626139641
487	0.1622686195
488	0.1617978477
489	0.1616474915
490	0.161399231
491	0.1610924911
492	0.1607356071
493	0.1605612183
494	0.1603614426
495	0.1601106262
496	0.1596944714
497	0.1594338226
498	0.1592709446
499	0.1589873028
500	0.1587226105
501	0.1584440613
502	0.1582709312
503	0.1580056477
504	0.1577140236
505	0.1576015186
506	0.1573855019
507	0.156955595
508	0.1566636753
509	0.156368885
510	0.1560104561
511	0.1555700874
512	0.1552538586
513	0.1550288963
514	0.1547332191
515	0.1542692757
516	0.1537986565
517	0.1536416626
518	0.1534005928
519	0.1530948639
520	0.1528964329
521	0.1525150299
522	0.1521907139
523	0.1519219971
524	0.1514269066
525	0.1511821842
526	0.1508563232
527	0.150520916
528	0.150213604
529	0.1498863125
530	0.1497320366
531	0.1493844128
532	0.1489649963
533	0.1485610962
534	0.1482461071
535	0.1479297638
536	0.1476514626
537	0.14734478
538	0.1470911884
539	0.1468968964
540	0.146592083
541	0.1462012482
542	0.1458456039
543	0.1455820084
544	0.1453199005
545	0.144901371
546	0.1445012283
547	0.1443650055
548	0.1440613747
549	0.1437883186
550	0.1435231018
551	0.1433921814
552	0.1429733944
553	0.1426944351
554	0.1424487877
555	0.1422770405
556	0.1420436954
557	0.1418375206
558	0.1414600372
559	0.1410274601
560	0.1407027435
561	0.1404714966
562	0.1401233578
563	0.1398634815
564	0.1396088123
565	0.1393200684
566	0.1391136169
567	0.1389047813
568	0.1386100769
569	0.1384679699
570	0.1380745983
571	0.1376830292
572	0.1373398304
573	0.13693223
574	0.1366860962
575	0.136482811
576	0.1361611557
577	0.1359419632
578	0.1356785583
579	0.1353954887
580	0.1352919579
581	0.1351413727
582	0.1348122501
583	0.134636116
584	0.1344292831
585	0.1342560005
586	0.1339831638
587	0.1337836075
588	0.1335866165
589	0.1334229279
590	0.1330861282
591	0.1329183197
592	0.1326988983
593	0.1324559784
594	0.1322636127
595	0.1319702911
596	0.1315475178
597	0.131429863
598	0.1312994576
599	0.1310639668
600	0.1309395027
601	0.1306900597
602	0.1304903793
603	0.1301637459
604	0.1299709511
605	0.1296805382
606	0.1293353462
607	0.1291602898
608	0.1288742828
609	0.1286902046
610	0.1285116005
611	0.1283296585
612	0.1281073856
613	0.127918663
614	0.1277259159
615	0.1275458717
616	0.1273617554
617	0.1271824074
618	0.1270210075
619	0.1268216705
620	0.1266508293
621	0.1263691044
622	0.126193037
623	0.1260321903
624	0.12582407
625	0.1255915451
626	0.1254617977
627	0.1253543854
628	0.1250999069
629	0.1249353409
630	0.1246935558
631	0.1244100666
632	0.1240594292
633	0.123850956
634	0.1236155987
635	0.1233956909
636	0.123258028
637	0.1230828285
638	0.1228982449
639	0.1228011894
640	0.12259655
641	0.1224203205
642	0.1222262096
643	0.1221075439
644	0.1219417953
645	0.1217370987
646	0.1215045834
647	0.1212819862
648	0.1211101341
649	0.1208650303
650	0.1206168175
651	0.1204546452
652	0.1203474903
653	0.1202274132
654	0.1200639248
655	0.1199033833
656	0.1196779823
657	0.1195053005
658	0.1192586899
659	0.1190256786
660	0.1187097931
661	0.1185180283
662	0.1183736038
663	0.1182252121
664	0.1179780102
665	0.1178613281
666	0.1175724602
667	0.1173835754
668	0.1171653271
669	0.1168746948
670	0.1166941452
671	0.1164664745
672	0.1162732887
673	0.1161131573
674	0.11585742
675	0.1156477928
676	0.115364418
677	0.1151922417
678	0.1149325657
679	0.1148020649
680	0.1146216774
681	0.1143604088
682	0.1140722656
683	0.113875351
684	0.1136962509
685	0.1135568619
686	0.1132360268
687	0.1130553627
688	0.1128905678
689	0.1127286148
690	0.1125251675
691	0.1123499298
692	0.1121994114
693	0.1119446468
694	0.1117646408
695	0.1115250874
696	0.1113476181
697	0.1111602974
698	0.1110708332
699	0.1108852577
700	0.1105877399
701	0.1104457092
702	0.1103144836
703	0.1101726723
704	0.1099266243
705	0.1096497536
706	0.1095400906
707	0.1093743706
708	0.1092654991
709	0.1090394974
710	0.1089422798
711	0.1086734104
712	0.1084444046
713	0.1081372643
714	0.1079344273
715	0.1077651215
716	0.1075033188
717	0.1074234867
718	0.1071973991
719	0.1068830585
720	0.1066398811
721	0.1064725018
722	0.1062009239
723	0.106108551
724	0.1060129929
725	0.1058446503
726	0.1056716919
727	0.1055265236
728	0.1053588772
729	0.1051138306
730	0.1049809361
731	0.1048427582
732	0.1045570755
733	0.1043630219
734	0.1040813732
735	0.103947401
736	0.1036964607
737	0.1033822632
738	0.1032109737
739	0.1030141258
740	0.1028468418
741	0.1026374817
742	0.1024708748
743	0.1022193527
744	0.1020908737
745	0.1018643951
746	0.1016621399
747	0.1014709949
748	0.1011881351
749	0.1009461403
750	0.1007260227
751	0.1005193043
752	0.1004366684
753	0.1001418877
754	0.1000319576
755	0.099848032
756	0.09976366043
757	0.09955411911
758	0.09942462921
759	0.09919075012
760	0.09903873444
761	0.09886253357
762	0.09876928329
763	0.09853238106
764	0.09833808899
765	0.0980992794
766	0.09793111801
767	0.09780688286
768	0.09767496109
769	0.09753026009
770	0.0973831749
771	0.09712574005
772	0.09696925163
773	0.09678244591
774	0.09664685249
775	0.09650761604
776	0.09633071899
777	0.09611508369
778	0.09583934784
779	0.09567983627
780	0.09551170349
781	0.09528337479
782	0.09512708664
783	0.09484368324
784	0.0947419548
785	0.0946044445
786	0.09442659378
787	0.09421854973
788	0.09403248787
789	0.09381000519
790	0.09360354424
791	0.09337360382
792	0.09315303802
793	0.09294403076
794	0.09277184486
795	0.09257723808
796	0.09246082306
797	0.09229620934
798	0.09210857391
799	0.09193796158
800	0.09179553986
801	0.09163254738
802	0.09154016495
803	0.09139256477
804	0.0912262249
805	0.09105186462
806	0.0909081459
807	0.09078246117
808	0.09070469856
809	0.09053242683
810	0.09039469719
811	0.09025936127
812	0.09011900902
813	0.08997001648
814	0.08971655846
815	0.0895708847
816	0.08936658859
817	0.08919317245
818	0.08903067589
819	0.08886277199
820	0.08871574402
821	0.0885477829
822	0.08841658592
823	0.08828183174
824	0.0881350708
825	0.08793299675
826	0.08780311584
827	0.08764848709
828	0.0874258709
829	0.08726903915
830	0.08713436127
831	0.08692728043
832	0.08673139572
833	0.08660581589
834	0.08639985085
835	0.08627526283
836	0.08604768753
837	0.08583992004
838	0.08574356079
839	0.08553750992
840	0.08542791367
841	0.08526330948
842	0.08515128136
843	0.08500965118
844	0.08481204987
845	0.08470009804
846	0.08458301544
847	0.08440678596
848	0.08429143906
849	0.08412755966
850	0.08386304855
851	0.08376289368
852	0.08360057831
853	0.08346553802
854	0.08334506989
855	0.08315257072
856	0.08303641319
857	0.08292380333
858	0.08275377274
859	0.08267619133
860	0.08248775482
